player_id,player_slug,first_name,last_name,player_url,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand,displayname
a028,alex-antonitsch,Alex,Antonitsch,http://www.atpworldtour.com/en/players/alex-antonitsch/a028/overview,AUT,"Vienna, Austria","Villach, Austria",1966.02.08,1966.0,2.0,8.0,1988.0,188.0,85.0,"6'2""",74.0,188.0,,,Antonitsch A.
a029,corrado-aprili,Corrado,Aprili,http://www.atpworldtour.com/en/players/corrado-aprili/a029/overview,ITA,,"Verona, Italy",1964.11.13,1964.0,11.0,13.0,0.0,177.0,80.0,"6'3""",75.0,191.0,,,Aprili C.
a030,roberto-arguello,Roberto,Arguello,http://www.atpworldtour.com/en/players/roberto-arguello/a030/overview,ARG,,"Rosario, Argentina",1963.05.12,1963.0,5.0,12.0,0.0,146.0,66.0,"5'8""",68.0,173.0,,,Arguello R.
a031,jimmy-arias,Jimmy,Arias,http://www.atpworldtour.com/en/players/jimmy-arias/a031/overview,USA,"Buffalo, NY","Buffalo, NY",1964.08.16,1964.0,8.0,16.0,1980.0,155.0,70.0,"5'9""",69.0,175.0,,,Arias J.
a032,marco-armellini,Marco,Armellini,http://www.atpworldtour.com/en/players/marco-armellini/a032/overview,ITA,,"Udine, Italy",1960.08.17,1960.0,8.0,17.0,0.0,187.0,85.0,"6'2""",74.0,188.0,,,Armellini M.
a034,jordi-arrese,Jordi,Arrese,http://www.atpworldtour.com/en/players/jordi-arrese/a034/overview,ESP,"Barcelona, Spain","Barcelona, Spain",1964.08.29,1964.0,8.0,29.0,1982.0,142.0,64.0,"5'9""",69.0,175.0,,,Arrese J.
a035,pablo-arraya,Pablo,Arraya,http://www.atpworldtour.com/en/players/pablo-arraya/a035/overview,PER,"Lima, Peru","Cordoba, Argentina",1961.10.21,1961.0,10.0,21.0,1980.0,160.0,73.0,"5'11""",71.0,180.0,,,Arraya P.
a036,edoardo-artaldi,Edoardo,Artaldi,http://www.atpworldtour.com/en/players/edoardo-artaldi/a036/overview,ITA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Artaldi E.
a039,juan-avendano,Juan,Avendano,http://www.atpworldtour.com/en/players/juan-avendano/a039/overview,ESP,,"Luanco, Spain",1961.01.29,1961.0,1.0,29.0,0.0,160.0,73.0,"5'10""",70.0,178.0,,,Avendano J.
a040,roberto-azar,Roberto,Azar,http://www.atpworldtour.com/en/players/roberto-azar/a040/overview,ARG,"Buenos Aires, Argentina","Lincoln, Argentina",1966.03.21,1966.0,3.0,21.0,1984.0,170.0,77.0,"6'1""",73.0,185.0,,,Azar R.
a042,ricardo-acioly,Ricardo,Acioly,http://www.atpworldtour.com/en/players/ricardo-acioly/a042/overview,BRA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",1964.02.04,1964.0,2.0,4.0,1986.0,181.0,82.0,"5'11""",71.0,180.0,,,Acioly R.
a043,aniceto-alvarez,Aniceto,Alvarez,http://www.atpworldtour.com/en/players/aniceto-alvarez/a043/overview,ESP,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Alvarez A.
a044,victor-amaya,Victor,Amaya,http://www.atpworldtour.com/en/players/victor-amaya/a044/overview,USA,,"Denver, CO",1954.07.02,1954.0,7.0,2.0,0.0,0.0,0.0,"6'7""",79.0,201.0,,,Amaya V.
a051,juan-carlos-ayala,Juan Carlos,Ayala,http://www.atpworldtour.com/en/players/juan-carlos-ayala/a051/overview,CHI,,,1961.06.18,1961.0,6.0,18.0,,,,,,,,,Ayala J.
a052,m-arenzon,M.,Arenzon,http://www.atpworldtour.com/en/players/m-arenzon/a052/overview,BRA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Arenzon M.
a053,john-austin,John,Austin,http://www.atpworldtour.com/en/players/john-austin/a053/overview,USA,"Scottsdale, AZ","Long Beach, CA",1957.07.31,1957.0,7.0,31.0,0.0,195.0,88.0,"6'4""",76.0,193.0,,,Austin J.
a056,terry-addison,Terry,Addison,http://www.atpworldtour.com/en/players/terry-addison/a056/overview,AUS,,"Wondai, QLDS, Australia",1946.01.11,1946.0,1.0,11.0,0.0,170.0,77.0,"5'11""",71.0,180.0,,,Addison T.
a057,elio-lito-alvarez,Elio Lito,Alvarez,http://www.atpworldtour.com/en/players/elio-lito-alvarez/a057/overview,ARG,,,1947.12.05,1947.0,12.0,5.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Alvarez E.
a058,george-amaya,George,Amaya,http://www.atpworldtour.com/en/players/george-amaya/a058/overview,USA,"Atlanta, GA, USA","Weymouth, MA, USA",1950.02.12,1950.0,2.0,12.0,1975.0,160.0,73.0,"5'8""",68.0,173.0,,,Amaya G.
a060,mal-anderson,Mal,Anderson,http://www.atpworldtour.com/en/players/mal-anderson/a060/overview,AUS,,"Theodore, QLDS, Australia",1935.03.03,1935.0,3.0,3.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Anderson M.
a061,jorge-andrew,Jorge,Andrew,http://www.atpworldtour.com/en/players/jorge-andrew/a061/overview,VEN,"Lexington, SC, U.S.A.","Caracas, Venezuela",1951.11.02,1951.0,11.0,2.0,,195.0,88.0,"5'11""",71.0,180.0,Right-Handed,One-Handed Backhand,Andrew J.
a063,arthur-ashe,Arthur,Ashe,http://www.atpworldtour.com/en/players/arthur-ashe/a063/overview,USA,,"Richmond, VA",1943.07.10,1943.0,7.0,10.0,1969.0,160.0,73.0,"6'1""",73.0,185.0,Right-Handed,One-Handed Backhand,Ashe A.
a062,john-andrews,John,Andrews,http://www.atpworldtour.com/en/players/john-andrews/a062/overview,USA,,"Houston, TX, USA",1952.02.05,1952.0,2.0,5.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andrews J.
a064,guillermo-aubone,Guillermo,Aubone,http://www.atpworldtour.com/en/players/guillermo-aubone/a064/overview,ARG,,"Buenos Aires, Argentina",1954.06.08,1954.0,6.0,8.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Aubone G.
a066,pieter-aldrich,Pieter,Aldrich,http://www.atpworldtour.com/en/players/pieter-aldrich/a066/overview,RSA,"Vereeniging, South Africa","Johannesburg, South Africa",1965.09.07,1965.0,9.0,7.0,1987.0,177.0,80.0,"5'11""",71.0,180.0,,,Aldrich P.
a068,tim-anderson,Tim,Anderson,http://www.atpworldtour.com/en/players/tim-anderson/a068/overview,USA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Anderson T.
a080,orlando-agudelo,Orlando,Agudelo,http://www.atpworldtour.com/en/players/orlando-agudelo/a080/overview,COL,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Agudelo O.
a073,luis-ayala,Luis,Ayala,http://www.atpworldtour.com/en/players/luis-ayala/a073/overview,CHI,,Santiago,1932.09.18,1932.0,9.0,18.0,,,,,,,,,Ayala L.
a086,birger-andersson,Birger,Andersson,http://www.atpworldtour.com/en/players/birger-andersson/a086/overview,SWE,,,1951.03.26,1951.0,3.0,26.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andersson B.
a085,rich-andrews,Rich,Andrews,http://www.atpworldtour.com/en/players/rich-andrews/a085/overview,USA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andrews R.
a093,gabriel-auroux,Gabriel,Auroux,http://www.atpworldtour.com/en/players/gabriel-auroux/a093/overview,ARG,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Auroux G.
a092,andre-agassi,Andre,Agassi,http://www.atpworldtour.com/en/players/andre-agassi/a092/overview,USA,"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA",1970.04.29,1970.0,4.0,29.0,1986.0,177.0,80.0,"5'11""",71.0,180.0,Right-Handed,Two-Handed Backhand,Agassi A.
a0ab,adrian-andreev,Adrian,Andreev,http://www.atpworldtour.com/en/players/adrian-andreev/a0ab/overview,BUL,,,2001.05.12,2001.0,5.0,12.0,,,,,,,,,Andreev A.
a102,kehinde-ajayi,Kehinde,Ajayi,http://www.atpworldtour.com/en/players/kehinde-ajayi/a102/overview,NGR,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Ajayi K.
a105,steven-alger,Steven,Alger,http://www.atpworldtour.com/en/players/steven-alger/a105/overview,BER,,Bermuda,,,,,0.0,185.0,84.0,"6'2""",74.0,188.0,,,Alger S.
a111,haim-arlozorov,Haim,Arlozorov,http://www.atpworldtour.com/en/players/haim-arlozorov/a111/overview,ISR,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Arlozorov H.
a113,paul-avis,Paul,Avis,http://www.atpworldtour.com/en/players/paul-avis/a113/overview,RSA,,"Springs, South Africa",1958.04.14,1958.0,4.0,14.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Avis P.
a119,michael-appleton,Michael,Appleton,http://www.atpworldtour.com/en/players/michael-appleton/a119/overview,GBR,,"Lancashire, England",1969.01.01,1969.0,1.0,1.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Appleton M.
a121,william-alvarez,William,Alvarez,http://www.atpworldtour.com/en/players/william-alvarez/a121/overview,COL,,"Medellin, Colombia",1934.12.15,1934.0,12.0,15.0,0.0,182.0,83.0,"5'10""",70.0,178.0,,,Alvarez W.
a120,jose-luis-arilla,Jose Luis,Arilla,http://www.atpworldtour.com/en/players/jose-luis-arilla/a120/overview,ESP,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Arilla J.
a122,mohammad-hossein-akbari,Mohammad Hossein,Akbari,http://www.atpworldtour.com/en/players/mohammad-hossein-akbari/a122/overview,IRI,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Akbari M.
a127,bob-alloo,Bob,Alloo,http://www.atpworldtour.com/en/players/bob-alloo/a127/overview,USA,,"Overland Park, KS, U.S.A.",1949.05.07,1949.0,5.0,7.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Alloo B.
a134,malcolm-allen,Malcolm,Allen,http://www.atpworldtour.com/en/players/malcolm-allen/a134/overview,USA,,"Los Angeles, CA",1967.07.13,1967.0,7.0,13.0,0.0,155.0,70.0,"5'10""",70.0,178.0,,,Allen M.
a136,tino-anda,Tino,Anda,http://www.atpworldtour.com/en/players/tino-anda/a136/overview,ESP,,"Zaragoza, Spain",1968.04.16,1968.0,4.0,16.0,0.0,145.0,66.0,"5'11""",71.0,180.0,,,Anda T.
a145,taghi-akbari,Taghi,Akbari,http://www.atpworldtour.com/en/players/taghi-akbari/a145/overview,IRI,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Akbari T.
a141,jose-francisco-altur,Jose Francisco,Altur,http://www.atpworldtour.com/en/players/jose-francisco-altur/a141/overview,ESP,"Valencia, Spain","Valencia, Spain",1968.03.24,1968.0,3.0,24.0,1985.0,179.0,81.0,"6'3""",75.0,191.0,,,Altur J.
a138,eric-amend,Eric,Amend,http://www.atpworldtour.com/en/players/eric-amend/a138/overview,USA,,"Berkeley, CA",1965.11.17,1965.0,11.0,17.0,0.0,155.0,70.0,"5'11""",71.0,180.0,,,Amend E.
a147,john-antonas,John,Antonas,http://www.atpworldtour.com/en/players/john-antonas/a147/overview,BAH,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Antonas J.
a148,bengt-aberg,Bengt,Aberg,http://www.atpworldtour.com/en/players/bengt-aberg/a148/overview,SWE,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Aberg B.
a149,pablo-albano,Pablo,Albano,http://www.atpworldtour.com/en/players/pablo-albano/a149/overview,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",1967.04.11,1967.0,4.0,11.0,1986.0,175.0,79.0,"5'10""",70.0,178.0,,,Albano P.
a158,jose-luis-aparisi,Jose-Luis,Aparisi,http://www.atpworldtour.com/en/players/jose-luis-aparisi/a158/overview,ESP,,"Valencia, Spain",1969.03.11,1969.0,3.0,11.0,0.0,146.0,66.0,"5'10""",70.0,178.0,,,Aparisi J.
a162,adam-anderson,Adam,Anderson,http://www.atpworldtour.com/en/players/adam-anderson/a162/overview,AUS,,"Sydney, Australia",1969.12.21,1969.0,12.0,21.0,0.0,160.0,73.0,"5'11""",71.0,180.0,,,Anderson A.
a163,johan-anderson,Johan,Anderson,http://www.atpworldtour.com/en/players/johan-anderson/a163/overview,AUS,,"Vasteras, Sweden",1971.09.29,1971.0,9.0,29.0,0.0,171.0,78.0,"6'0""",72.0,183.0,,,Anderson J.
a169,ian-aler,Ian,Aler,http://www.atpworldtour.com/en/players/ian-aler/a169/overview,USA,,"Costa Mesa, CA, U.S.A.",1965.11.11,1965.0,11.0,11.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Aler I.
a165,zeeshan-ali,Zeeshan,Ali,http://www.atpworldtour.com/en/players/zeeshan-ali/a165/overview,IND,,"Calcutta, India",1970.01.01,1970.0,1.0,1.0,0.0,145.0,66.0,"5'11""",71.0,180.0,,,Ali Z.
a172,alejandro-aramburu,Alejandro,Aramburu,http://www.atpworldtour.com/en/players/alejandro-aramburu/a172/overview,PER,,"Lima, Peru",1969.02.14,1969.0,2.0,14.0,0.0,140.0,64.0,"5'9""",69.0,175.0,,,Aramburu A.
a173,kim-andersson,Kim,Andersson,http://www.atpworldtour.com/en/players/kim-andersson/a173/overview,SWE,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andersson K.
a176,jan-apell,Jan,Apell,http://www.atpworldtour.com/en/players/jan-apell/a176/overview,SWE,"Kungsbacka,Sweden","Goteborg, Sweden",1969.11.04,1969.0,11.0,4.0,1988.0,162.0,73.0,"6'0""",72.0,183.0,,,Apell J.
a177,david-adams,David,Adams,http://www.atpworldtour.com/en/players/david-adams/a177/overview,RSA,"Cape Town, South Africa","Durban, South Africa",1970.01.05,1970.0,1.0,5.0,1989.0,175.0,79.0,"6'2""",74.0,188.0,,,Adams D.
a181,massimo-ardinghi,Massimo,Ardinghi,http://www.atpworldtour.com/en/players/massimo-ardinghi/a181/overview,ITA,"Florence, Italy","Genova, Italy",1971.03.06,1971.0,3.0,6.0,1988.0,157.0,71.0,"5'9""",69.0,175.0,,,Ardinghi M.
a182,johan-alven,Johan,Alven,http://www.atpworldtour.com/en/players/johan-alven/a182/overview,SWE,,,1972.01.13,1972.0,1.0,13.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Alven J.
a188,john-arbanas,John,Arbanas,http://www.atpworldtour.com/en/players/john-arbanas/a188/overview,AUS,,,1970.02.07,1970.0,2.0,7.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Arbanas J.
a183,carsten-arriens,Carsten,Arriens,http://www.atpworldtour.com/en/players/carsten-arriens/a183/overview,GER,"Munich, Germany","Frankfurt, Germany",1969.04.11,1969.0,4.0,11.0,1991.0,178.0,81.0,"6'4""",76.0,193.0,,,Arriens C.
a190,emilio-benfele-alvarez,Emilio,Benfele Alvarez,http://www.atpworldtour.com/en/players/emilio-benfele-alvarez/a190/overview,ESP,"Munich, Gemany","Figeras, Spain",1972.11.15,1972.0,11.0,15.0,1989.0,188.0,85.0,"6'0""",72.0,183.0,,,Benfele Alvarez E.
a199,chuck-adams,Chuck,Adams,http://www.atpworldtour.com/en/players/chuck-adams/a199/overview,USA,"Pacific Palisades, CA","Pacific Palisades, CA",1971.04.23,1971.0,4.0,23.0,1990.0,178.0,81.0,"6'1""",73.0,185.0,,,Adams C.
a202,wayne-arthurs,Wayne,Arthurs,http://www.atpworldtour.com/en/players/wayne-arthurs/a202/overview,AUS,"Melbourne, Australia","Adelaide, S.A., Australia",1971.03.18,1971.0,3.0,18.0,1990.0,177.0,80.0,"6'3""",75.0,191.0,,,Arthurs W.
a203,karim-alami,Karim,Alami,http://www.atpworldtour.com/en/players/karim-alami/a203/overview,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",1973.05.24,1973.0,5.0,24.0,1990.0,187.0,85.0,"6'1""",73.0,185.0,,,Alami K.
a207,roberto-alvarez,Roberto,Alvarez,http://www.atpworldtour.com/en/players/roberto-alvarez/a207/overview,ARG,,,1971.02.23,1971.0,2.0,23.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Alvarez R.
a213,stephane-andriolo,Stephane,Andriolo,http://www.atpworldtour.com/en/players/stephane-andriolo/a213/overview,FRA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andriolo S.
a209,xavier-avila,Xavier,Avila,http://www.atpworldtour.com/en/players/xavier-avila/a209/overview,ESP,"Ponte Vedra Beach, FL","Lleida, Spain",1973.12.10,1973.0,12.0,10.0,0.0,160.0,73.0,"6'0""",72.0,183.0,,,Avila X.
a217,yenesi-allen,Yenesi,Allen,http://www.atpworldtour.com/en/players/yenesi-allen/a217/overview,NIG,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Allen Y.
a216,lawrence-awopegba,Lawrence,Awopegba,http://www.atpworldtour.com/en/players/lawrence-awopegba/a216/overview,NIG,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Awopegba L.
a224,patricio-arnold,Patricio,Arnold,http://www.atpworldtour.com/en/players/patricio-arnold/a224/overview,ARG,,"Buenos Aires, Argentina",1971.10.20,1971.0,10.0,20.0,0.0,160.0,73.0,"6'0""",72.0,183.0,,,Arnold P.
a226,hicham-arazi,Hicham,Arazi,http://www.atpworldtour.com/en/players/hicham-arazi/a226/overview,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",1973.10.19,1973.0,10.0,19.0,1993.0,143.0,65.0,"5'9""",69.0,175.0,,,Arazi H.
a228,lucas-arnold-ker,Lucas,Arnold Ker,http://www.atpworldtour.com/en/players/lucas-arnold-ker/a228/overview,ARG,"Barcelona, Spain","Buenos Aires, Argentina",1974.10.12,1974.0,10.0,12.0,1994.0,168.0,76.0,"5'11""",71.0,180.0,,,Arnold Ker L.
a234,pietro-angelini,Pietro,Angelini,http://www.atpworldtour.com/en/players/pietro-angelini/a234/overview,ITA,,,1971.12.07,1971.0,12.0,7.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Angelini P.
a241,thomas-andersen,Thomas,Andersen,http://www.atpworldtour.com/en/players/thomas-andersen/a241/overview,DEN,,,,,,,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andersen T.
a244,nasser-ghanim-al-khulaifi,Nasser-Ghanim,Al-Khulaifi,http://www.atpworldtour.com/en/players/nasser-ghanim-al-khulaifi/a244/overview,QAT,,,1973.11.12,1973.0,11.0,12.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Al-Khulaifi N.
a270,charles-auffray,Charles,Auffray,http://www.atpworldtour.com/en/players/charles-auffray/a270/overview,FRA,,,1973.02.24,1973.0,2.0,24.0,1996.0,182.0,83.0,"6'0""",72.0,183.0,,,Auffray C.
a272,julian-alonso,Julian,Alonso,http://www.atpworldtour.com/en/players/julian-alonso/a272/overview,ESP,"Monte Carlo, Monaco","Canet de Mar, Spain",1977.08.02,1977.0,8.0,2.0,1996.0,180.0,82.0,"6'1""",73.0,185.0,,,Alonso J.
a276,jan-frode-andersen,Jan Frode,Andersen,http://www.atpworldtour.com/en/players/jan-frode-andersen/a276/overview,NOR,"Oslo, Norway","Asker, Norway",1972.08.29,1972.0,8.0,29.0,1997.0,187.0,85.0,"6'3""",75.0,191.0,Left-Handed,Two-Handed Backhand,Andersen J.
a280,henrik-andersson,Henrik,Andersson,http://www.atpworldtour.com/en/players/henrik-andersson/a280/overview,SWE,,,1977.05.02,1977.0,5.0,2.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Andersson H.
a293,yves-allegro,Yves,Allegro,http://www.atpworldtour.com/en/players/yves-allegro/a293/overview,SUI,"Grone, Switzerland","Grone, Switzerland",1978.08.24,1978.0,8.0,24.0,1997.0,181.0,82.0,"6'0""",72.0,183.0,,,Allegro Y.
a303,leonardo-azzaro,Leonardo,Azzaro,http://www.atpworldtour.com/en/players/leonardo-azzaro/a303/overview,ITA,"Florence, Italy","Florence, Italy",1978.05.30,1978.0,5.0,30.0,1997.0,165.0,75.0,"6'2""",74.0,188.0,,,Azzaro L.
a305,jacob-adaktusson,Jacob,Adaktusson,http://www.atpworldtour.com/en/players/jacob-adaktusson/a305/overview,SWE,"Stockholm, Sweden","Stockholm, Sweden",1980.08.31,1980.0,8.0,31.0,0.0,192.0,87.0,"6'4""",76.0,193.0,,,Adaktusson J.
a308,florian-allgauer,Florian,Allgauer,http://www.atpworldtour.com/en/players/florian-allgauer/a308/overview,ITA,,,1979.01.07,1979.0,1.0,7.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Allgauer F.
a310,emin-agaev,Emin,Agaev,http://www.atpworldtour.com/en/players/emin-agaev/a310/overview,AZE,"Monte Carlo, Monaco",,1979.05.14,1979.0,5.0,14.0,1999.0,170.0,77.0,"0'0""",0.0,0.0,,,Agaev E.
a316,diego-ayala,Diego,Ayala,http://www.atpworldtour.com/en/players/diego-ayala/a316/overview,USA,"Coral Springs, Florida, USA","Cordoba, Argentina",1979.04.29,1979.0,4.0,29.0,1998.0,170.0,77.0,"5'9""",69.0,175.0,,,Ayala D.
a311,hugo-armando,Hugo,Armando,http://www.atpworldtour.com/en/players/hugo-armando/a311/overview,USA,"Bradenton, Florida, USA","Miami, Florida, USA",1978.05.27,1978.0,5.0,27.0,1997.0,180.0,82.0,"6'0""",72.0,183.0,Right-Handed,One-Handed Backhand,Armando H.
a318,patricio-arquez,Patricio,Arquez,http://www.atpworldtour.com/en/players/patricio-arquez/a318/overview,ARG,,,1980.04.12,1980.0,4.0,12.0,0.0,0.0,0.0,"0'0""",0.0,0.0,,,Arquez P.
a324,simon-aspelin,Simon,Aspelin,http://www.atpworldtour.com/en/players/simon-aspelin/a324/overview,SWE,"London, England","Saltsjobaden, Sweden",1974.05.11,1974.0,5.0,11.0,1998.0,175.0,79.0,"6'1""",73.0,185.0,,,Aspelin S.
a340,francesco-aldi,Francesco,Aldi,http://www.atpworldtour.com/en/players/francesco-aldi/a340/overview,ITA,"Palermo, Italy","Palermo, Italy",1981.09.17,1981.0,9.0,17.0,1999.0,165.0,75.0,"5'9""",69.0,175.0,,,Aldi F.
a356,thierry-ascione,Thierry,Ascione,http://www.atpworldtour.com/en/players/thierry-ascione/a356/overview,FRA,rueil malmaison,"Villeurbanne, France",1981.01.17,1981.0,1.0,17.0,2000.0,196.0,89.0,"6'2""",74.0,188.0,Right-Handed,One-Handed Backhand,Ascione T.
